Date,Daily Returns for Mr X's Portfolio,Daily Returns for the S&P500,Daily Returns for Hasbro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/05/2014,0.002579556,0.003844787,-0.005905135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/05/2014,-0.007504021,-0.006498398,-0.009838483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/05/2014,0.008347292,0.008116099,0.006749172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/05/2014,0.00157504,0.00236223,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/05/2014,0.00281864,0.004248392,0.002793258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/05/2014,0.003568639,0.005987806,-0.005942438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/05/2014,-0.000803531,-0.001114072,-0.002615334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/05/2014,0.005039618,0.00536711,-0.000749234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/05/2014,0.002088589,0.001843678,0.006560502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/06/2014,0.00089448,0.000727826,-0.028305406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/06/2014,-0.000625678,-0.000379217,-0.013415128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/06/2014,0.00091388,0.001891664,0.011849285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/06/2014,0.005716915,0.00652528,0.006911131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/06/2014,0.004770476,0.004627758,-0.004957151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/06/2014,0.000403197,-0.000245984,0.000188358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/06/2014,-0.004476643,-0.003537041,-0.003390457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/06/2014,-0.006692768,-0.007088894,-0.008505028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/06/2014,0.002975472,0.003134562,-0.001334349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
